;Latitude;Longitude
REWE Filiale Remscheider Str. 3 a in 01796 Pirna;509.526.418;139.570.525
REWE Lucas Musculus oHG Filiale Franzosenallee 10 in 04289 Leipzig, Stadt-Probstheida;513.003.174;124.328.895
REWE Huetter - Einkaufszentrum Filiale Breite Str. 38 in 01796 Pirna;509.602.609;139.388.593
REWE Filiale Scheffelstr. 34 in 04277 Leipzig-Connewitz;513.108.553;123.739.353
REWE Filiale Kesselsdorfer Str. 24b in 01159 Dresden OT Loebtau-Nord;510.439.113;137.003.071
REWE Filiale Kesselsdorfer Str. 1 in 01159 Dresden;510.433.064;137.031.296
REWE Filiale Schillerstr. 28C in 01796 Pirna / Copitz;509.694.248;139.273.447
REWE Center Filiale Ludwigsburger Str. 9 in 04209 Leipzig;513.205.761;122.895.966
REWE Filiale Gruenauer Allee 38 in 04209 Leipzig OT Gruenau-Ost;513.202.917;123.043.496
REWE Filiale Stuttgarter Allee 29 in 04209 Leipzig;51.322.524;1.228.778
REWE Filiale Pirnaer Landstr. 230 in 01259 Dresden;510.027.557;138.412.846
REWE City Filiale Antonienstr. 19 in 04229 Leipzig-Kleinzschocher;513.201.314;123.293.626
REWE Filiale Friedrich-List-Platz 2 in 01069 Dresden / Suedvorstadt-West;510.389.099;137.314.643
REWE Filiale Pirnaer Landstr. 145 in 01257 Dresden / Leuben-Leuben;510.114.251;138.288.543
REWE City Filiale Prager Str. 1 in 01069 Dresden;510.412.861;13.734.103
REWE Filiale Zschochersche Str. 82 b in 04229 Leipzig-Plagwitz;513.234.844;123.321.272
REWE Leipzig Thiemestrasse Filiale Thiemstrasse 1 in 04299 Leipzig;513.180.291;124.226.293
REWE Filiale Webergasse 1 in 01067 Dresden;510.481.586;137.353.981
REWE Filiale Holzhaeuser Str. 110 in 04299 Leipzig/Stoetteritz;513.196.796;124.253.611
REWE Daniela Ketzscher  oHG Filiale Wallstr. 2 b in 01067 Dresden, Stadt-Innere Altstadt;510.504.983;137.335.335
REWE Filiale Wurzener Str. 3 in 04668 Grimma;512.399.344;127.305.155
REWE City Filiale Schweriner Str. 12 in 01067 Dresden;510.520.263;137.294.475
REWE Filiale Tarostr. 2 in 04103 Leipzig;513.257.865;123.868.175
REWE Filiale Lassallestr. 27 in 06217 Merseburg;51.357.517;119.861.799
REWE Filiale Bahnhofstr. 1-3 in 06567 Bad Frankenhausen;513.536.656;110.988.211
REWE Center Filiale Enderstr. 59 in 01277 Dresden;510.289.318;138.038.144
REWE Filiale Strassburger Platz 1 in 01307 Dresden;510.463.105;137.568.724
REWE City Filiale Zschochersche Str. 14a in 04229 Leipzig-Lindenau;513.332.624;123.382.868
REWE City Filiale Riebeckstr. 10-14 in 04317 Leipzig-Reudnitz-Thonberg;513.310.737;124.050.417
REWE Betreiberges. Markt Zoesch. GmbH Filiale Pflaumenbaumweg 1 in 06237 Zoeschen;513.569;1.212.451
REWE FMS Handels GmbH Filiale Schandauer Str. 23 b in 01309 Dresden-Striesen;510.434.448;137.879.188
REWE Regiemarkt GmbH Filiale Petersstr. 50 in 04109 Leipzig;513.368.674;123.746.911
REWE Henry Mattusch oHG Filiale Elisenstr. 29 in 01307 Dresden, Stadt;510.540.023;137.611.394
REWE Filiale Elsterstr. 22-24 in 04109 Leipzig-Zentrum-West;513.405.004;123.649.658
REWE Nahkauf Huetter Filiale Dresdner Str. 2 B in 01814 Bad Schandau,Stadt;50.918.154;14.151.687
REWE Filiale Georg-Schwarz-Str. 139-142 in 04179 Leipzig-Leutzsch;513.482.003;123.107.683
REWE City Filiale Hainstr. 21-29 in 04109 Leipzig;513.426.884;123.731.025
REWE City Filiale Bautzner Str. 31 in 01099 Dresden-Innere Neustadt;510.630.929;137.528.036
REWE Filiale Kreuzstr. 31 in 04315 Leipzig-Zentrum-Ost;513.417.781;123.957.633
REWE Filiale Willy-Brandt-Platz 4 in 04103 Leipzig-Zentrum-Ost;513.441.698;123.825.919
REWE Filiale Sternstr. 2a in 01139 Dresden/Mickten-Mickten;510.797.383;137.126.519
REWE City Filiale Koenigsbruecker Str. 62 in 01099 Dresden;510.702.465;137.502.693
REWE Stefan Meilick oHG Filiale Leonhard-Frank-Str. 65 in 04318 Leipzig, Stadt;513.458.386;124.281.289
REWE Filiale Meissner Str. 475 in 01445 Radebeul;511.180.087;135.989.733
REWE Filiale Meissner Str. 5 in 01445 Radebeul (Radebeul Ost);510.920.496;136.997.682
REWE Filiale Sidonienstr. 1 in 01445 Radebeul;510.994.761;136.789.392
