;Address
163;REWE Filiale Breitenfelder Str. 1 A in 04155 Leipzig
164;REWE Filiale Paunsdorfer Allee 1 in 04329 Leipzig
165;REWE Filiale Gorkistr. 55 in 04347 Leipzig / Schönefeld-Abtnaundorf
166;REWE City Filiale Georg-Schumann-Str. 60 in 04155 Leipzig
167;REWE Markt Uwe Zschorn oHG Filiale Wittenberger Str. 83 in 04129 Leipzig/Eutritzsch-Eutritzsch
168;REWE Filiale Otto-von-Guericke-Str. 1 in 04451 Borsdorf
169;REWE Filiale Merseburger Straße 25 in 04435 Schkeuditz
170;REWE Filiale Rosenowstr. 30b in 04357 Leipzig / Mockau
171;REWE Filiale Mockauer Str. 123 in 04357 Leipzig / Mockau-Nord-Mockau-Nord
172;REWE Filiale Robert-Koch-Str. 32 in 04435 Schkeuditz
173;REWE Filiale Travemünder Str. 3 in 01109 Dresden OT Klotzsche-Klotzsche
174;REWE Filiale Merseburger Str. 399 in 06132 Halle (Saale), Stadt
175;REWE Filiale Dresdener Str. 59 in 04808 Wurzen
176;REWE Thomas Wietasch  oHG Filiale Frau-Von-Selmnitz-Str. 4 in 06110 Halle
177;REWE Filiale Karl-Liebknecht-Str. 29 a in 06526 Sangerhausen
178;REWE Filiale Liebenauer Str. 62-64 in 06110 Halle (Saale)
179;REWE Filiale Torstr. 39-41 in 06110 Halle
180;REWE Filiale Hettstedter Str. 2 in 06124 Halle (Saale)
181;REWE Nahkauf Richter Filiale Cloppenburger Str. 34-34 in 06126 Halle (Saale)-Nietleben
182;REWE Nahkauf Richter Filiale Hans-Dietrich-Genscher-Platz 1 in 06112 Halle-Diemitz
183;REWE Filiale Maxim-Gorki-Str. 9 in 01844 Neustadt/Sachsen
184;REWE Filiale Delitzscher Str. 120 in 06116 Halle / Büschdorf
185;REWE Filiale Lindenstr. 2 in 04774 Dahlen
186;REWE City Filiale Leipziger Str. 94 in 06108 Halle (Saale)-Altstadt
187;REWE City Filiale Kellnerstr 4 in 06108 Halle (Saale)-Altstadt
188;REWE Filiale Krausenstr. 7 in 06112 Halle (Saale)
189;REWE Filiale Merzdorfer Str. 22 in 01591 Riesa
190;REWE Oliver Richter Filiale An den Leinewiesen 2 in 04509 Krostitz
191;REWE Markt Thomas Wietasch oHG Filiale Carl-Robert-Str. 4 in 06114 Halle (Saale) / Giebichenstein-Giebichenstein
192;REWE Center Filiale Herner Str. 7 in 06295 Lutherstadt Eisleben
193;REWE am besten PETZ Filiale Großenhainer Str. 58 in 01471 Radeburg
194;REWE Filiale Grenzstr. - in 04838 Eilenburg
195;REWE Filiale Raiffeisenstr. 1 in 04509 Delitzsch
196;REWE Filiale Eisenbahnstr. 28 in 04509 Delitzsch
197;REWE am besten PETZ Filiale Kamenzer Str. 6A in 01896 Pulsnitz
198;REWE Nahkauf J. Diessner Filiale Dresdener Str. 15 in 01904 Neukirch
199;REWE am besten PETZ Filiale Carl-Maria-V.-Weber-Str. 1 in 01877 Bischofswerda-Belmsdorf
200;REWE Center Filiale Hochwaldstr. 20 in 02763 Zittau
201;REWE  Anne Skiba  oHG Filiale Unterer Kirchweg 5 in 02730 Ebersbach-Neugersdorf, Stadt
202;REWE Gersdorfer Landhandel GmbH Filiale Bahnhofstr. 17A in 01920 Gersdorf-Bischheim
203;REWE nahkauf Enrico Hohlfeld Filiale Hauptstr. 199 in 02739 Eibau
204;REWE am besten PETZ Filiale Marktstr. 16 in 01609 Gröditz
205;REWE Filiale Brehnaer Str. 34 in 06749 Bitterfeld-Wolfen
206;REWE Nahkauf Jürgen Diessner Filiale Beiersdorfer Str. 32 in 02708 Schönbach
207;REWE Filiale Dommitzscher Str. 13 in 04849 Bad Düben
208;REWE Filiale Wallstr. 8 in 06493 Harzgerode
209;REWE Filiale Lindenweg 3 in 06333 Hettstedt
210;REWE Nahkauf Schaaf Filiale Czornebohstr. 2a in 02733 Cunewalde
211;REWE Nahkauf Peter Weise Filiale Großenhainer Str. 15 in 01990 Ortrand
212;REWE Filiale Bernburger Str. 10 in 06420 Könnern
213;REWE APH e.G. Hinsdorf GbR Filiale Gewerbepark 1 in 06369 Weißandt-Gölzau
214;REWE Center Filiale Lauchhammerstr 60 in 04910 Elsterwerda
215;REWE Filiale Heinrich-Heine-Str. 1 in 04924 Bad Liebenwerda
216;REWE Filiale Quedlinburger Str. 12 b in 06493 Ballenstedt
217;REWE Filiale Liebenwerdaer Str. 30 in 04895 Falkenberg
218;REWE Filiale Otto-Schönermark-Str. 2 in 06502 Thale
219;REWE Filiale Gadewitzer Weg 20 in 06773 Gräfenhainichen-Mescheide
220;REWE NK Agrargenossenschaft Filiale Umgehungsstr. 30 in 06406 Bernburg-Baalberge
221;REWE Filiale Ortrander Str. 9 in 01979 Lauchhammer
222;REWE Filiale Schipkauer Str. 13 in 01987 Schwarzheide
223;Rewe Markt Bianka Hesse OHG Filiale Schipkauer str. 3 in 01987 Schwarzheide
224;REWE Filiale Kustrenaer Str. 75 in 06406 Bernburg
225;REWE Filiale Harzweg 23 in 06484 Quedlinburg-Quarmbeck
226;REWE Filiale Karlsplatz 25 in 06406 Bernburg (Saale)
227;REWE nahkauf Marcel Weber Filiale Breite Str. 19 in 06484 Quedlinburg-Quarmbeck
228;REWE Nahkauf Aph e.G. Hinsdorf GbR Filiale Ernst-Thälmann-Str. 14 in 06386 Osternienburg
229;REWE Filiale Franzstr. 159 in 06842 Dessau-Roßlau
230;REWE Filiale Reichenbacher Str. 19 in 02827 Görlitz-Rauschwalde-Rauschwalde
231;REWE Filiale Kavalierstr. 49 in 06844 Dessau-Roßlau
232;REWE Filiale Teschenstr. 1 in 02977 Hoyerswerda
233;REWE Filiale Lausitzer Platz 2 in 02977 Hoyerswerda
234;REWE Filiale Bahnhofstr. 40 in 01968 Senftenberg
235;REWE Filiale Alte Schweinitzer Str. 1 A in 06917 Jessen
236;REWE Nahkauf Gehre Filiale Str. zum Kohlehandel in 03238 Finsterwalde
237;REWE Markt GmbH Filiale Luchplatz 2 in 06862 Roßlau
238;REWE am besten PETZ Filiale Kollmer Str. 8 in 02906 Niesky
239;REWE Filiale Markt 16 in 06886 Lutherstadt Wittenberg
240;REWE Filiale IFA-Park 6 in 01983 Großräschen
241;REWE Filiale 0128 Filiale Friedrichstr. 78 in 06886 Lutherstadt Wittenberg
242;REWE Ngo's Food GmbH Filiale Spremberger Str. 1 in 03119 Welzow
243;REWE Knaak, Claudia Filiale Hauptstr. 107 in 03246 Crinitz
244;REWE Markt GmbH Filiale Karl-Marx-Str. 10 in 03205 Calau
245;REWE Filiale Kleine Bahnhofstr. 1 in 03226 Vetschau/Spreewald, Stadt
246;REWE Filiale Leipziger Str. 13 in 03048 Cottbus-Spremberger Vorstadt
247;REWE Filiale Roter Platz 7 in 03222 Lübbenau
248;REWE Filiale Schweriner Str. 1 in 03046 Cottbus
249;REWE Filiale Willy-Brandt-Str. 19a in 03042 Cottbus
250;REWE Filiale Hermannstr. 16 in 03042 Cottbus / Sandow-Sandow
251;REWE Filiale Am Fliess 16 in 03044 Cottbus / Schmellwitz-Schmellwitz
252;REWE Filiale August-Bebel-Str. 2 in 03149 Forst (Lausitz)
253;REWE Filiale Karl-Marx-Str. 96 in 03172 Guben
254;REWE Markt GmbH Filiale Schellstr. 12/13 in 15936 Dahme/Mark, Stadt
255;REWE Filiale Große Str. 64 in 14913 Jüterbog
256;REWE Nahkauf Creutzburg Filiale Bahnhofstr. 22 in 14823 Niemegk
257;REWE Filiale Str. der Einheit 4 a in 15938 Golßen
258;REWE Filiale Ziegelstr. 1 in 15907 Lübben
259;REWE Filiale Am Nuthefließ 4 in 14943 Luckenwalde
260; Filiale Frankfurter Str. 104 A in 15907 Lübben
261;REWE Nahkauf Ngo Filiale Hauptstr. 31-35 in 15837 Baruth
262;REWE Filiale Trebbiner Str. 3 in 15838 Am Mellensee
263;REWE Filiale Virchowstr. 46 in 14547 Beelitz
264;REWE Filiale Am Mühlengraben 4 in 14959 Trebbin
265;REWE Ronny Färber Filiale Am Markt 1 in 14547 Fichtenwalde
266;REWE Filiale Koenigsmarckstr. 18 a in 14774 Brandenburg an der Havel OT Plaue
267;REWE Filiale Kirschanger 5 in 14548 Schwielowsee OT Caputh
268;REWE Filiale Hauptstr. 45 in 15741 Bestensee
269;REWE Filiale Dr.-Külz-Str. 129-131 in 14542 Glindow-Glindow
270;REWE Filiale Neuendorfer Str. 76 in 14770 Brandenburg an der Havel
271;REWE Laute  oHG Filiale Neuendorfer Str. 52 in 14770 Brandenburg an der Havel, Stadt
272;REWE Filiale Sankt-Annen-Str. 23 in 14776 Brandenburg an der Havel
273;REWE Christopher Titze oHG Filiale Hauffstr. 34 in 14548 Schwielowsee
274;REWE Filiale Arthur-Scheunert-Allee 71 in 14558 Nuthetal / Bergholz-Rehbrücke
275;REWE Filiale Veilchenweg 2 in 14772 Brandenburg
276;REWE Filiale Tschirchdamm 8 in 14772 Brandenburg
277;REWE City Filiale Anni-von-Gottberg-Str. 8 in 14480 Potsdam-Kirchsteigfeld
278;REWE Holger Gaul oHG Filiale Mittelstr. 27 in 15827 Blankenfelde-Mahlow
279;REWE Filiale Zum Großen Zernsee 3 in 14542 Werder (Havel)
280;REWE Filiale Schilfhof 22 in 14478 Potsdam/Schlaatz-Schlaatz
281;REWE Filiale Fontaneplatz 9 in 15711 Königs Wusterhausen
282;REWE Filiale Haeckelstr. 30 in 14471 Potsdam-Potsdam West
283;REWE Filiale An der Alten Zauche 45 in 14478 Potsdam / Schlaatz-Schlaatz
284;REWE Filiale Johannes-Kepler-Platz 5 in 14480 Potsdam
285;REWE Prosperi GmbH Filiale Galileistr. 16 in 14480 Potsdam
286;REWE Filiale Breite Str. 27 in 14471 Potsdam-Brandenburger Vorstadt
287;REWE Filiale Lotte-Pulewka-Str. 8 in 14473 Potsdam/Zentrum Ost
288;REWE Filiale In der Feldmark 3 in 14476 Potsdam OT Golm
289;REWE Filiale Karl-Marx-Str. 169 in 15713 Königs Wusterhausen-Niederlehme
290;REWE Filiale Berliner Damm 169 in 15831 Blankenfelde-Mahlow
291;REWE Filiale Potsdamer Str. 177 in 14469 Potsdam-Bornstedt
292;REWE Filiale Ludwig-Boltzmann-Str. 8 in 14469 Potsdam / Bornstedt-Bornstedt
293;REWE Filiale Luisenstr. 7 in 15831 Mahlow
294;REWE Filiale Ruhlsdorfer Str. 87 in 14513 Teltow
295;REWE Filiale Ringstr. 5A in 15848 Beeskow
296;REWE Filiale Freiheitstr. 55 in 15745 Wildau
297;REWE Filiale Nedlitzer Str. 19c in 14469 Potsdam-Bornstedt
298;REWE Filiale Mahlower Str. 142 in 14513 Teltow
299;REWE Filiale Schönower Str. 11 in 14513 Teltow
300;REWE Filiale Karl-Marx-Str. 58-60 in 14532 Kleinmachnow
301;REWE Filiale Steinstr. 37-41 in 12307 Berlin-Lichtenrade
302;REWE Filiale Ladiusstr. 26 in 14165 Berlin / Zehlendorf-Zehlendorf
303;REWE Filiale Goethestr. 37 in 15738 Zeuthen
304;REWE Sebastian Schäfer oHG Filiale Am Pfarracker 1 in 12529 Schönefeld
305;REWE Filiale Töpchiner Weg 189-193 in 12309 Berlin-Lichtenrade
306;REWE Filiale Lichtenrader Damm 102 in 12305 Berlin-Lichtenrade
307;REWE Filiale Hildburghauser Str. 29 in 12279 Berlin-Marienfelde
308;REWE Ngo Ngoc, Lam/Nguyen, Le Tran GbR Filiale Hildburghauser Str. 196 in 12209 Berlin-Lichterfelde
309;REWE Nahkauf Schramm Filiale v. Stechow Str. 10 in 14476 Fahrland
